BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
ANTEBELLUM GUEST HOUSE,1333 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"TEACHOUT,KEITH E II",3681977.051,536105.1721,"(29.9680888453114, -90.0664038833073)"
THE BEE HOUSE,1028 PORT ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,THE BEE HOUSE LLC,3687336.897,536206.3215,"(29.9682029305198, -90.0494737472103)"
"SUPERIOR RESTAURANT GROUP, LLC",3636 SAINT CHARLES AVE,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BEST WESTERN PLUS ST. CHARLES INN,3673311.794,521063.4564,"(29.9269896805502, -90.0942828128379)"
THE DUCHESS,833 6TH ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,JUANITA L JACKSON,3677121.647,519877.746,"(29.9236155313316, -90.0822969630205)"
THE ROOSEVELT HOTEL WAC,123 BARONNE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FCH SUB-TENANT, LLC",3680371.079,530940.8374,"(29.9539374097094, -90.071655182224)"
HOLIDAY INN EXPRESS,7049 BULLARD AVE,,NEW ORLEANS,LA,70128,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,LAKSHMI LLC,3714667.986,565718.7197,"(30.0484801958181, -89.9620466020469)"
MONROSE ROW B & B,1303 GOVERNOR NICHOLLS ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,1303 B & B LTD,3681943.568,535386.7487,"(29.9661144460927, -90.0665347067278)"
BOHEME DE MARIGNY,735 TOURO ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,BOHEME DE MARIGNY LLC,3684352.123,535084.9235,"(29.9652110930664, -90.0589391612329)"
BON MAISON GUEST HOUSE,835 BOURBON ST,,NEW ORLEANS,LA,70116-3106,4702 - ROOMING & BOARDING HOUSES,BON MAISON GUEST HOUSE,3682642.828,533211.5481,"(29.960112114912, -90.0644025345515)"
KATHERINE B SENTER,43 FONTAINEBLEAU DR,,NEW ORLEANS,LA,70125,4703 - BED & BREAKFAST INNS,"SENTER, KATHERINE B",3666291.318,531387.8049,"(29.9555851984752, -90.1160984836188)"
FLEUR DE LIS MANSION,1216 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"FLEUR DE LIS MANSION, LLC",3681437.921,525320.3282,"(29.9384505518922, -90.068482437876)"
ROSE MANOR,7214 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ROSE MANOR LLC,3666437.697,555022.5018,"(30.020568307529, -90.114842650283)"
LONDON LODGE MOTEL,9301 AIRLINE HWY,,NEW ORLEANS,LA,70118,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"AIRLINE COURTYARD INN,LLC",3664275.142,537463.2714,"(29.9723494750492, -90.1222621091529)"
RENAISSANCE ARTS HOTEL,700 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,RENAISSANCE HOTEL MANAG,3681790.413,528093.4431,"(29.9460649871294, -90.0672728506824)"
CORNSTALK HOTEL,915 ROYAL ST,1,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SPENCER INVESTMENTS CORP,3683047.224,533166.5057,"(29.9599759434133, -90.0631271156077)"
HOTEL DE LA MONNAIE OWNERS  ASSOCIATION INC,405 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL DE LA MONNAIE OWNEASSOCIATION INC,3684951.265,533814.2239,"(29.9616987714164, -90.0570917988922)"
FLORVILLE MANOR,1447 N VILLERE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,FLORVILLE MANOR,3682066.198,536534.697,"(29.9692671802428, -90.0661073529398)"
AUBERGE NOUVELLE ORLEANS,1628 CARONDELET ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,LABALIZE PROPERTIES,3678556.418,525306.4715,"(29.9384995972566, -90.0775801168904)"
CREOLE INN RUE DAUPHINE,2471 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,RAYMOND LEDET/SILAS WILLOUGHBY,3686469.988,535375.4474,"(29.9659449955824, -90.0522408115212)"
723 MARIGNY,723 MARIGNY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"BENOIT, MICHELLE A.",3685564.328,535086.3958,"(29.9651780147465, -90.055111035849)"
JACKS MOTEL,7700 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SHIV SHAKTI UMA LAXMI, LLC",3703762.215,552499.9715,"(30.0124881427712, -89.9970022002821)"
ZORA-A NEW ORLENS B & B,420 BOUNY ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,VICKIE D FILIP,3686024.828,529926.0034,"(29.9509745769855, -90.053838775376)"
NEW ORLEANS MARRIOTT HOTEL-[H/P],555 CANAL ST,A,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MARRIOTT INTERNATIONAL IROGER HAMILTON,3681657.116,530427.7618,"(29.9524876262548, -90.0676123037327)"
ANDREW JACKSON HOTEL,919 ROYAL ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FQ HOTELS, LLC",3683077.163,533188.6284,"(29.9600358608292, -90.0630318026356)"
FRENCHMEN HOTEL,417 FRENCHMEN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,FRENCHMEN HOTEL LLC,3684803.715,534038.0568,"(29.9623187526419, -90.0575498676484)"
SITE 61 HOSTEL,3701 ULLOA ST,,NEW ORLEANS,LA,70119,4702 - ROOMING & BOARDING HOUSES,SITE 61 HOSTEL,3670901.019,535583.2288,"(29.9669857649718, -90.1014002264642)"
DAUPHINE ORLEANS HOTEL,415 DAUPHINE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"415 RUE DAUPHINE, LLC",3681389.21,532174.7329,"(29.9572993395706, -90.0683973333859)"
PRINCE CONTI HOTEL,830 CONTI ST,B,NEW ORLEANS,LA,70112-3440,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FUSELIER, ANN VALENTINO VALENTINO, WARREN PAUL",3681394.182,531901.7619,"(29.9565486108807, -90.0683911485525)"
LAFITTE GUEST HOUSE,1003 BOURBON ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,C-J'S 1003 BOURBON STREET LLC,3682910.077,533639.5721,"(29.9612808938629, -90.0635436409099)"
WHITNEY HOTEL,610 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,601 POYDRAS ACQUISITION LLC,3680998.164,529214.1799,"(29.9491706830473, -90.0697352294657)"
ROYAL PALMS MOTEL,7800 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HITESH MISTRY,3704221.34,552575.3192,"(30.0126805890446, -89.9955488506431)"
LA BELLE ESPLANADE,2216 ESPLANADE AVE,,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,"LA BELLE ESPLANADE, LLC",3679424.881,537915.2148,"(29.9731431864984, -90.0744009289622)"
ASHTON'S BED & BREAKFAST,2023 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,PATRICK ASHTON,3680029.597,537628.9555,"(29.972337789583, -90.0725010639725)"
THE NATCHEZ NEW ORLEANS MT,530 NATCHEZ ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"THE NATCHEZ NEW ORLEANS MT, LLC",3681314.045,529450.0964,"(29.9498097918655, -90.0687296323732)"
CAMPECHE,634 N WHITE ST,,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,CAMPECHE,3676133.527,537038.3758,"(29.9708312008841, -90.0848258626573)"
EMPRESS HOTEL,1317 URSULINES AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BROOKS JOAN,3681584.305,535114.2954,"(29.9653762092022, -90.0676787526137)"
BED AND BREAKFAST  ON THE POINT,405 DELARONDE ST,,NEW ORLEANS,LA,70114,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BED AND BREAKFAST ON THE POINT LLC,3686648.773,531002.1167,"(29.9539143480815, -90.0518306739301)"
1503 GUEST HOUSE LLC,1503 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,1503 GUEST HOUSE LLC,3682225.655,523280.4844,"(29.9328177259658, -90.0660667095787)"
HYATT REGENCY NEW ORLEANS-,601 LOYOLA AVE,,NEW ORLEANS,LA,70113,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HYATT LOUISIANA L.L.C.,3678884.57,529323.9332,"(29.9495363880042, -90.0764049746947)"
EMBASSY SUITES CONVENTION HOTEL,315 JULIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"ESNOLA JULIA STREET HOTEL OWNER, LLC",3682106.518,527638.1807,"(29.9448035608569, -90.0662906960978)"
STAYBRIDGE SUITES NEW ORLEANS,501 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"HOSPITALITY MANAGEMENT ADVISORS, INC",3681811.713,528981.9793,"(29.9485075157807, -90.0671746007679)"
MOTEL 6 -HOTEL-,4200 OLD GENTILLY RD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BAYOU HOSPITALITY LLC,3690544.053,548686.903,"(30.0024208569741, -90.0389001942854)"
LA QUINTA INN & SUITES #983  4701,301 CAMP ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"LQ MANAGEMENT, LLC",3681218.452,529834.138,"(29.9508686776476, -90.0690180842279)"
THE GENTRY HOUSE,1031 ST ANN ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,BRIAN/CHARLOTTE FURNESS,3681740.078,533596.4837,"(29.9611980147085, -90.0672397935647)"
THE TOWNHOUSE,1332 MAGAZINE ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"MACIOR MANAGEMENT, LLC",3680515.016,524954.7055,"(29.9374731911349, -90.0714088532692)"
BY H20 BEAUTY,1025 ALVAR ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,BY H20 BEAUTY B& B,3691467.577,535150.4324,"(29.9651717001607, -90.0364666764789)"
MAZANT HOLDING LLC,906 MAZANT ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,MAZANT HOLDING LLC,3691892.603,534543.8748,"(29.9634906457807, -90.035146171629)"
CLAIBORNE MANSION (THE),2111 DAUPHINE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,CLEO'S INN INC,3684797.82,535321.755,"(29.9658486601817, -90.0575233483612)"
JEFF DAVIS,2011 IBERVILLE ST,,NEW ORLEANS,LA,70112-3332,4702 - ROOMING & BOARDING HOUSES,"JEFF DAVIS PROPERTIES, I",3677744.833,533939.3299,"(29.9622615057352, -90.0798442216657)"
NEW ORLEANS FESTIVAL HOUSE,1653 N BROAD ST,STE 100,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,MORGAN CLEVENGER,3679332.667,540588.5653,"(29.9804967619687, -90.0745994134344)"
TONY'S FRENCH QUARTER ROOMS,335 DAUPHINE ST,,NEW ORLEANS,LA,70112-3129,4702 - ROOMING & BOARDING HOUSES,"SASSONE, ANTHONY J",3681244.885,531979.7587,"(29.9567676067903, -90.0688598593748)"
GLADSTONE RESTAURANT HOTEL LOUNGE,3435 DRYADES ST,,NEW ORLEANS,LA,70115-5220,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,JONES BELINDA,3673440.654,522445.6075,"(29.9307863182422, -90.0938288373345)"
NEW ORLEANS MARRIOTT AT THE CONVENTION CENTER-[H/P,859 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MARRIOTT HOTEL SERVICES INC,3682585.402,527078.5198,"(29.9432501119176, -90.0647982775791)"
HOTEL MAISON PIERRE LAFITTE   LTD,108 UNIVERSITY PL,,NEW ORLEANS,LA,70112-2502,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL MAISON PIERRE LAFILTD,3680279.087,531225.7662,"(29.9547236526666, -90.071935751179)"
THE OLD NO. 77 HOTEL & CHANDLERY - MAIN,535 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL AMBASSADOR NOLA LLC,3681770.356,528753.4873,"(29.9478804961101, -90.067313153129)"
ECONO LODGE,4940 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-5016,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CUB'S MOTEL CORPORATION,3692664.04,550162.0428,"(30.0064109263661, -90.0321499976564)"
ENGINE 24 FIREHOUSE,2711 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,SO WHAT LLC,3687231.215,535253.8288,"(29.9655871629457, -90.0498411881917)"
ROYAL SUNSHINE,3810 ROYAL ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,ANTHONY & DIA NAPOLITANO,3690951.844,533891.8757,"(29.9617271497188, -90.0381402510938)"
HOUSE OF THE RISING SUN,335 PELICAN AVE,,NEW ORLEANS,LA,70114-2347,4703 - BED & BREAKFAST INNS,"HERRIDGE, KEVIN",3686466.771,530408.1174,"(29.9522866489113, -90.0524263302249)"
ROYAL SONESTA HOTEL,300 BOURBON ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SONESTA INTERNATIONAL HOTELS CORPORATION,3681523.245,531576.0317,"(29.9556490451257, -90.0679949678944)"
LE MERIDIEN NEW ORLEANS,333 POYDRAS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,CHSP TRS NEW ORLEANS,3682119.684,529146.7132,"(29.9489511175088, -90.0661964576515)"
CARRIE'S COOL PROPERTIES,1466 MAGAZINE ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,ALTEMUS CARRIE J,3680268.216,523964.7871,"(29.934758714204, -90.0722224162318)"
COLLINWOOD,2408 DAUPHINE ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,THOMAS COLLINS    CHARLES WOODALL,3685969.628,535250.7422,"(29.9656174721651, -90.0538253277447)"
ROYAL ORLEANS HOTEL,621 ST LOUIS ST,,NEW ORLEANS,LA,70130-2119,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,OMNI NEW ORLEANS CORP,3682243.922,531852.5314,"(29.9563874228976, -90.0657096696405)"
KATE & DAVES BED & BREAKFAST,715 ST FERDINAND ST,,NEW ORLEANS,LA,70117-7367,4703 - BED & BREAKFAST INNS,DAVE MEEKS & KATE HINDS,3687413.48,534943.8239,"(29.9647291424097, -90.0492765746206)"
AUDUBON COTTAGES,509 DAUPHINE ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,509 RUE DAUPHINE LLC.,3681564.638,532403.9119,"(29.9579241775608, -90.0678353933293)"
THE ROSE,2232 ESPLANADE AVE,,NEW ORLEANS,LA,70119-2606,4703 - BED & BREAKFAST INNS,"DRETAR, DEBRA F",3679321.75,537951.1338,"(29.9732450665584, -90.0747253923069)"
PONTCHARTRAIN LANDING,6001 FRANCE RD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"LAKE PONTCHARTRAIN PROPERTIES, LLC",3691672.468,556935.7862,"(30.0250671223013, -90.035040139532)"
HARRAH'S POYDRAS HOTEL,228 POYDRAS ST,,NEW ORLEANS,LA,70130,2060 - CASINO HOTELS,"JCC FULTON DEVELOPMENT, LLC",3682272.068,528907.9473,"(29.9482899573016, -90.0657236530428)"
SCHIRO'S GUEST HOUSE,2483 ROYAL ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,SCHIRO'S SUPER FOOD STORINC,3686561.677,535009.7621,"(29.9649366687229, -90.0519641750527)"
HYATT FRENCH QUARTER,800 IBERVILLE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HRI LODGING LLC,3681110.354,531230.9229,"(29.9547126434303, -90.0693107509001)"
GLENROSE MOTEL,7930 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-5344,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,VIDHYUT LODGING LLC,3704841.654,552656.1118,"(30.0128828096036, -89.9935860301339)"
"MAISON TOURISTE, LLC",430 BERMUDA ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,"MAISON TOURISTE, LLC",3686680.421,530289.3204,"(29.9519534291342, -90.0517559181533)"
BANANA COURTYARD,1422 N RAMPART ST,,NEW ORLEANS,LA,70116-1912,4703 - BED & BREAKFAST INNS,RAMSEY CHARLES,3683051.163,535449.3032,"(29.9662527327521, -90.0630347626399)"
THE GRAND VICTORIAN BED &     BREAKFAST,2727 ST CHARLES AVE,,NEW ORLEANS,LA,70130-5929,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"B A R, LLC",3675937.205,522627.0679,"(29.9312107808917, -90.0859413358407)"
LE PAVILLON HOTEL HOTEL TAX,833 POYDRAS ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"REMINGTON LODGING & HOSPITALITY, LLC",3680011.555,529610.5373,"(29.9502904125285, -90.072836621273)"
BOURBON ORLEANS HOTEL,717 ORLEANS AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ST ANN LODGING LLC      TAX DEPT,3682502.391,532793.7567,"(29.9589676067682, -90.0648606081599)"
LA MAISON MARIGNY B & B,1421 BOURBON ST,,NEW ORLEANS,LA,70116-2008,4703 - BED & BREAKFAST INNS,"DONIHOO, DEWEY          RAMSEY, JOHN",3683910.181,534784.9931,"(29.9643998956067, -90.0603453121169)"
HUBBARD MANSION BED & BREAKFAST,3535 ST CHARLES AVE,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,"HUBBARD,DON C",3673577.801,521439.6797,"(29.9280162615835, -90.0934302440832)"
RENAISSANCE PERE MARQUETTE,817 COMMON ST,B,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,RENAISSANCE HOTEL MGT COLLC,3680475.868,530608.1043,"(29.9530193328643, -90.0713358730272)"
HAMPTON INN & SUITES-NEW ORLEANS DOWNTOWN,226 CARONDELET ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BRE NOLA PROPERTY OWNER, LLC",3680577.635,530289.8101,"(29.9521410489736, -90.0710256083409)"
SPRINGHILL SUITES BY MARRIOTT H/P,301 ST JOSEPH ST,,NEW ORLEANS,LA,70130-3617,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SPRINGHILL SMC CORP,3682122.67,527050.5753,"(29.9431873517638, -90.0662602135417)"
DAYS INN & SUITES,4180 OLD GENTILLY RD,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,4180 GENTILLY HOSPITALITY,3690261.887,548705.3757,"(30.0024804118233, -90.03979093026)"
BEST WAY INN & SUITES & TRAILOR PARK,6042 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"MH RAMA, LLC",3697039.486,551082.2566,"(30.0088038257333, -90.0182935750577)"
THE VICTORIAN HOUSE,914 N RAMPART ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"914 N. RAMPART, LLC",3681955.231,534009.2851,"(29.9623265388455, -90.066545967078)"
WEBBER'S MOTEL,9300 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HARI OM LLC,3710066.579,553782.8098,"(30.0158117790327, -89.9770361297319)"
LA RUE ESPLANADE,1834 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,VERANIECE WILLIAMS,3680406.099,537143.0633,"(29.970990356551, -90.071328909555)"
FOUR POINTS BY SHERATON FRENCH QUARTER,541 BOURBON ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SPRINGFIELD, L.L.C.",3681942.674,532323.0705,"(29.9576904055684, -90.0666444841706)"
ST. HELENE HOTEL,508 CHARTRES ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ST. HELENE HOTEL,3682501.522,531697.1953,"(29.9559524630943, -90.0649016837192)"
